"p","corr_coef","n_stom_ab","n_stom_ad","treatment","leaf_number","image_number","light","stom_ratio"
"0.17","-0.0724771849091413","27","18","COL-0 #2","1","1","Medium Light",0.666666666666667
"0.75","0.174144032965662","22","20","COL-0 #2","1","2","Medium Light",0.909090909090909
"0.49","0.0385352185251483","24","15","COL-0 #2","1","3","Medium Light",0.625
"0.17","-0.0702087738903479","24","18","COL-0 #2","1","4","Medium Light",0.75
"0.18","-0.118359241776131","33","27","COL-0 #2","2","1","Medium Light",0.818181818181818
"0.55","0.0528037709146632","29","22","COL-0 #2","2","2","Medium Light",0.758620689655172
"0.45","0.0430132789416242","31","21","COL-0 #2","2","3","Medium Light",0.67741935483871
"0.91","0.344941025787111","30","22","COL-0 #2","2","4","Medium Light",0.733333333333333
"0.62","0.08349547521392","32","17","COL-0 #2","3","1","Medium Light",0.53125
"0.11","-0.11657230226708","32","21","COL-0 #2","3","2","Medium Light",0.65625
"0.79","0.275855394105847","27","17","COL-0 #2","3","3","Medium Light",0.62962962962963
"0.8","0.302841426005665","23","16","COL-0 #2","3","4","Medium Light",0.695652173913043
"0.52","0.0565988271247375","27","16","COL-0 #2","4","1","Medium Light",0.592592592592593
"0.47","0.0884188069840382","26","18","COL-0 #2","4","2","Medium Light",0.692307692307692
"0.76","0.172187048921472","23","17","COL-0 #2","4","3","Medium Light",0.739130434782609
"0.93","0.426791826210076","29","18","COL-0 #2","4","4","Medium Light",0.620689655172414
"0.63","0.125200290052488","29","18","COL-0 #2","5","1","Medium Light",0.620689655172414
"0.56","0.0594979311134106","32","22","COL-0 #2","5","2","Medium Light",0.6875
"0.61","0.101873731553719","26","20","COL-0 #2","5","3","Medium Light",0.769230769230769
"0.48","0.0372482157133054","26","17","COL-0 #2","5","4","Medium Light",0.653846153846154
"0.13","-0.0586677782491347","86","83","COL-0 HL","1","1","High Light",0.965116279069767
"0.46","0.0301897158586051","59","61","COL-0 HL","1","2","High Light",1.03389830508475
"0.96","0.261277206890339","89","69","COL-0 HL","1","3","High Light",0.775280898876405
"0.72","0.105482135268809","80","70","COL-0 HL","1","4","High Light",0.875
"0.39","0.0077375871723717","62","56","COL-0 HL","1","5","High Light",0.903225806451613
"0.39","0.015018795519949","82","67","COL-0 HL","2","1","High Light",0.817073170731707
"0.55","0.0605022151125436","66","64","COL-0 HL","2","2","High Light",0.96969696969697
"0.09","-0.0796911457041212","67","59","COL-0 HL","2","3","High Light",0.880597014925373
"0.5","0.0501484693330452","62","61","COL-0 HL","2","4","High Light",0.983870967741935
"0.14","-0.081201037234468","61","67","COL-0 HL","3","1","High Light",1.09836065573771
"0.17","-0.0665194752617183","70","61","COL-0 HL","3","2","High Light",0.871428571428571
"0.04","-0.105054080407013","70","72","COL-0 HL","3","3","High Light",1.02857142857143
"0.12","-0.0797755611682524","72","75","COL-0 HL","3","4","High Light",1.04166666666667
"0.35","-0.0287274513215509","73","66","COL-0 HL","4","1","High Light",0.904109589041096
"0.44","0.0445211689932026","59","56","COL-0 HL","4","2","High Light",0.949152542372881
"0.16","-0.0473760000282608","59","62","COL-0 HL","4","3","High Light",1.05084745762712
"0.3","-0.0282250746384008","63","61","COL-0 HL","4","4","High Light",0.968253968253968
"0.45","0.0367326811841937","81","52","COL-0 HL","4","5","High Light",0.641975308641975
"0.93","0.389031669916777","22","17","COL-0 LL","1","1","Low Light",0.772727272727273
"0.38","-0.0120500711742564","23","11","COL-0 LL","1","2","Low Light",0.478260869565217
"0.29","-0.0476479712644274","20","18","COL-0 LL","1","3","Low Light",0.9
"0.89","0.25600701522255","24","19","COL-0 LL","1","4","Low Light",0.791666666666667
"0.63","0.0816798802741758","27","27","COL-0 LL","2","1","Low Light",1
"0.64","0.150037882423179","23","18","COL-0 LL","2","2","Low Light",0.782608695652174
"0.8","0.209774435549342","27","18","COL-0 LL","2","3","Low Light",0.666666666666667
"0.23","-0.0813656571687172","26","17","COL-0 LL","2","4","Low Light",0.653846153846154
"0.93","0.388418529598707","37","19","COL-0 LL","3","1","Low Light",0.513513513513513
"0.85","0.2525049455889","41","33","COL-0 LL","3","2","Low Light",0.804878048780488
"0.64","0.0901101642390738","30","20","COL-0 LL","3","3","Low Light",0.666666666666667
"0.83","0.235073632981953","31","25","COL-0 LL","3","4","Low Light",0.806451612903226
"0.42","-0.0065769387377504","34","27","COL-0 LL","4","1","Low Light",0.794117647058823
"0.43","0.0355963101789801","37","27","COL-0 LL","4","2","Low Light",0.72972972972973
"0.74","0.147034652238065","33","24","COL-0 LL","4","3","Low Light",0.727272727272727
"0.27","-0.0628784901263659","32","29","COL-0 LL","4","4","Low Light",0.90625
"0.72","0.140850474098339","25","22","COL-0","2","1","Medium Light",0.88
"0.58","0.0782389937015701","23","17","COL-0","2","2","Medium Light",0.739130434782609
"0.37","-0.0193141861617399","28","20","COL-0","2","3","Medium Light",0.714285714285714
"0.27","-0.0430449806970966","24","22","COL-0","2","4","Medium Light",0.916666666666667
"0.74","0.16347709503996","27","18","COL-0","3","1","Medium Light",0.666666666666667
"0.67","0.155211550728019","29","19","COL-0","3","2","Medium Light",0.655172413793103
"0.87","0.318237782439657","25","20","COL-0","3","3","Medium Light",0.8
"0.89","0.40460147674226","20","20","COL-0","3","4","Medium Light",1
"0.39","-0.030204923247048","26","25","COL-0","4","1","Medium Light",0.961538461538462
"0.23","-0.0703302731853996","26","21","COL-0","4","2","Medium Light",0.807692307692308
"0.91","0.314429378881986","25","18","COL-0","4","3","Medium Light",0.72
"0.42","0.0452940196796841","23","23","COL-0","4","4","Medium Light",1
