"p","corr_coef","n_stom_ab","n_stom_ad","treatment","leaf_number","image_number","light","stom_ratio"
"0.04","-0.191931452793155","27","18","COL-0 #2","1","1","Medium Light",0.666666666666667
"0.76","0.100882812104204","22","20","COL-0 #2","1","2","Medium Light",0.909090909090909
"0.73","0.106893917545333","24","15","COL-0 #2","1","3","Medium Light",0.625
"0.18","-0.0737080367048527","24","18","COL-0 #2","1","4","Medium Light",0.75
"0.15","-0.0736923541832501","33","27","COL-0 #2","2","1","Medium Light",0.818181818181818
"0.47","0.0278958656679227","29","22","COL-0 #2","2","2","Medium Light",0.758620689655172
"0.09","-0.172270130922985","31","21","COL-0 #2","2","3","Medium Light",0.67741935483871
"0.92","0.217464299763421","30","22","COL-0 #2","2","4","Medium Light",0.733333333333333
"0.9","0.183166859251656","32","17","COL-0 #2","3","1","Medium Light",0.53125
"0.05","-0.219444296885516","32","21","COL-0 #2","3","2","Medium Light",0.65625
"0.75","0.128994803828768","27","17","COL-0 #2","3","3","Medium Light",0.62962962962963
"0.91","0.206690568987178","23","16","COL-0 #2","3","4","Medium Light",0.695652173913043
"0.56","0.0302373958083929","27","16","COL-0 #2","4","1","Medium Light",0.592592592592593
"0.6","0.0259404027458601","26","18","COL-0 #2","4","2","Medium Light",0.692307692307692
"0.75","0.110752051763719","23","17","COL-0 #2","4","3","Medium Light",0.739130434782609
"0.93","0.2577831351154","29","18","COL-0 #2","4","4","Medium Light",0.620689655172414
"0.85","0.191687546450182","29","18","COL-0 #2","5","1","Medium Light",0.620689655172414
"0.68","0.0996164602449462","32","22","COL-0 #2","5","2","Medium Light",0.6875
"0.91","0.209391017304577","26","20","COL-0 #2","5","3","Medium Light",0.769230769230769
"0.73","0.089916028520409","26","17","COL-0 #2","5","4","Medium Light",0.653846153846154
"0.7","0.162437340174946","86","83","COL-0 HL","1","1","High Light",0.965116279069767
"0.79","0.190588259553354","59","61","COL-0 HL","1","2","High Light",1.03389830508475
"0.95","0.306511309861363","89","69","COL-0 HL","1","3","High Light",0.775280898876405
"0.68","0.161045677382323","80","70","COL-0 HL","1","4","High Light",0.875
"0.16","-0.0880831224262357","62","56","COL-0 HL","1","5","High Light",0.903225806451613
"0.24","-0.0183262907304751","82","67","COL-0 HL","2","1","High Light",0.817073170731707
"0.96","0.249771409100116","66","64","COL-0 HL","2","2","High Light",0.96969696969697
"0.25","-0.0252171738572828","67","59","COL-0 HL","2","3","High Light",0.880597014925373
"0.66","0.154417972952256","62","61","COL-0 HL","2","4","High Light",0.983870967741935
"0.85","0.193114457517482","61","67","COL-0 HL","3","1","High Light",1.09836065573771
"0","-0.247108206173301","70","61","COL-0 HL","3","2","High Light",0.871428571428571
"0.32","-0.0136582740221624","70","72","COL-0 HL","3","3","High Light",1.02857142857143
"0.52","0.0786041559692638","72","75","COL-0 HL","3","4","High Light",1.04166666666667
"0.75","0.168893849176614","73","66","COL-0 HL","4","1","High Light",0.904109589041096
"0.53","0.0409222330767406","59","56","COL-0 HL","4","2","High Light",0.949152542372881
"0.86","0.208733927804451","59","62","COL-0 HL","4","3","High Light",1.05084745762712
"0.49","0.0731135185647013","63","61","COL-0 HL","4","4","High Light",0.968253968253968
"0.77","0.174160595674565","81","52","COL-0 HL","4","5","High Light",0.641975308641975
"0.81","0.138595753141096","22","17","COL-0 LL","1","1","Low Light",0.772727272727273
"0.32","-0.0614316558915732","23","11","COL-0 LL","1","2","Low Light",0.478260869565217
"0.37","-0.0380928345891735","20","18","COL-0 LL","1","3","Low Light",0.9
"0.84","0.160127615473081","24","19","COL-0 LL","1","4","Low Light",0.791666666666667
"0.33","-0.00957289665087489","27","27","COL-0 LL","2","1","Low Light",1
"0.65","0.04125618383256","23","18","COL-0 LL","2","2","Low Light",0.782608695652174
"0.59","0.0673358686342137","27","18","COL-0 LL","2","3","Low Light",0.666666666666667
"0.07","-0.199884582992174","26","17","COL-0 LL","2","4","Low Light",0.653846153846154
"0.9","0.210737823326507","37","19","COL-0 LL","3","1","Low Light",0.513513513513513
"0.99","0.340772086009841","41","33","COL-0 LL","3","2","Low Light",0.804878048780488
"0.95","0.271136291551698","30","20","COL-0 LL","3","3","Low Light",0.666666666666667
"0.33","-0.0303877827888855","31","25","COL-0 LL","3","4","Low Light",0.806451612903226
"0.08","-0.127258372450354","34","27","COL-0 LL","4","1","Low Light",0.794117647058823
"0.72","0.0806817434078504","37","27","COL-0 LL","4","2","Low Light",0.72972972972973
"0.88","0.188162269978839","33","24","COL-0 LL","4","3","Low Light",0.727272727272727
"0.25","-0.0727160273431352","32","29","COL-0 LL","4","4","Low Light",0.90625
"0.37","-0.0485791105905173","25","22","COL-0","2","1","Medium Light",0.88
"0.24","-0.0904787767024276","23","17","COL-0","2","2","Medium Light",0.739130434782609
"0.63","0.0456773548902496","28","20","COL-0","2","3","Medium Light",0.714285714285714
"0.2","-0.0646594378548753","24","22","COL-0","2","4","Medium Light",0.916666666666667
"0.73","0.103834592746478","27","18","COL-0","3","1","Medium Light",0.666666666666667
"0.42","0.0229276443103986","29","19","COL-0","3","2","Medium Light",0.655172413793103
"0.9","0.216901740097112","25","20","COL-0","3","3","Medium Light",0.8
"0.99","0.432273996718826","20","20","COL-0","3","4","Medium Light",1
"0.02","-0.244022207942979","26","25","COL-0","4","1","Medium Light",0.961538461538462
"0.4","-0.0417296569883492","26","21","COL-0","4","2","Medium Light",0.807692307692308
"0.8","0.132712430469726","25","18","COL-0","4","3","Medium Light",0.72
"0.71","0.133343806003536","23","23","COL-0","4","4","Medium Light",1
