"p","real_NNI","num_stom","dispersed","treatment","leaf_number","image_number","surface","light"
"0.61","1.13796116699002","27","-0.022810679406817","COL-0 #2","1","1","abaxial","Medium Light"
"0.1","1.15970762397304","86","0.0785211302516473","COL-0 HL","1","1","abaxial","High Light"
"0.27","1.34319501928114","22","0.0810390184685503","COL-0 LL","1","1","abaxial","Low Light"
"0.06","1.39372330216661","25","0.178274118522581","COL-0","2","1","abaxial","Medium Light"
"0.67","1.09989290069911","33","-0.042198437658351","COL-0 #2","2","1","abaxial","Medium Light"
"0.02","1.21349093761353","82","0.126989645107374","COL-0 HL","2","1","abaxial","High Light"
"0.07","1.43195366882177","27","0.237506321948958","COL-0 LL","2","1","abaxial","Low Light"
"0.35","1.20976676708703","27","0.0402042661407411","COL-0","3","1","abaxial","Medium Light"
"0.04","1.3656827017776","32","0.190437936735339","COL-0 #2","3","1","abaxial","Medium Light"
"0","1.33997589275045","61","0.224553931146616","COL-0 HL","3","1","abaxial","High Light"
"0.2","1.24351461020963","37","0.0795907586337364","COL-0 LL","3","1","abaxial","Low Light"
"0.15","1.32627999894721","26","0.114269186644956","COL-0","4","1","abaxial","Medium Light"
"0.5","1.19345785265881","27","0.000735306401084238","COL-0 #2","4","1","abaxial","Medium Light"
"0.02","1.28579449300104","73","0.189244507597442","COL-0 HL","4","1","abaxial","High Light"
"0.11","1.32224703654833","34","0.150449449610233","COL-0 LL","4","1","abaxial","Low Light"
"0.91","0.968116082442708","29","-0.150684955500067","COL-0 #2","5","1","abaxial","Medium Light"
"0.14","1.45364158149127","22","0.203655622310234","COL-0 #2","1","2","abaxial","Medium Light"
"0.03","1.24326010878027","59","0.125852886357735","COL-0 HL","1","2","abaxial","High Light"
"0.04","1.4237127716001","23","0.209459542882147","COL-0 LL","1","2","abaxial","Low Light"
"0.6","1.1782930322518","23","-0.0269140331706295","COL-0","2","2","abaxial","Medium Light"
"0.36","1.2346070580771","29","0.051940022332625","COL-0 #2","2","2","abaxial","Medium Light"
"0.02","1.26067557259103","66","0.156125705900425","COL-0 HL","2","2","abaxial","High Light"
"0.33","1.27779245121594","23","0.036522024051195","COL-0 LL","2","2","abaxial","Low Light"
"0","1.5102586819379","29","0.302182499142179","COL-0","3","2","abaxial","Medium Light"
"0.52","1.17598085441883","32","-0.00512427987463678","COL-0 #2","3","2","abaxial","Medium Light"
"0.02","1.20321052161177","70","0.111562421787747","COL-0 HL","3","2","abaxial","High Light"
"0.04","1.30589016543046","41","0.166005407245497","COL-0 LL","3","2","abaxial","Low Light"
"0.24","1.31986676200025","26","0.112374369084198","COL-0","4","2","abaxial","Medium Light"
