"treatment","leaf_number","image_number","x","y","area","reject","surface","stomata_number","angle","length","light","density"
"COL-0",2,"ab-1",140.5,51,NA,TRUE,"abaxial",2,30.466,19.723,"Medium Light",25
"COL-0",2,"ab-1",142,315,15415.5405730013,FALSE,"abaxial",8,70.017,23.409,"Medium Light",25
"COL-0",2,"ab-1",145,487,NA,TRUE,"abaxial",18,77.005,26.683,"Medium Light",25
"COL-0",2,"ab-1",211.5,405,9383.76919042064,FALSE,"abaxial",10,33.69,25.239,"Medium Light",25
"COL-0",2,"ab-1",252.5,228.5,15888.0558952409,FALSE,"abaxial",5,-62.354,23.707,"Medium Light",25
"COL-0",2,"ab-1",253.5,364.5,11012.3611871549,FALSE,"abaxial",9,-70.201,26.571,"Medium Light",25
"COL-0",2,"ab-1",274,102.5,NA,TRUE,"abaxial",3,-68.199,26.926,"Medium Light",25
"COL-0",2,"ab-1",291,152.5,8156.2917617496,FALSE,"abaxial",4,43.363,24.759,"Medium Light",25
"COL-0",2,"ab-1",298.5,444.5,NA,TRUE,"abaxial",19,62.103,19.235,"Medium Light",25
"COL-0",2,"ab-1",317.5,435,3328.23704171882,FALSE,"abaxial",20,72.35,23.087,"Medium Light",25
"COL-0",2,"ab-1",35,288,NA,TRUE,"abaxial",7,-10.305,22.361,"Medium Light",25
"COL-0",2,"ab-1",361,416.5,9897.62263077949,FALSE,"abaxial",21,-85.03,23.087,"Medium Light",25
"COL-0",2,"ab-1",382,493.5,NA,TRUE,"abaxial",22,-80.134,23.345,"Medium Light",25
"COL-0",2,"ab-1",391,195.5,9192.3743214334,FALSE,"abaxial",14,64.537,23.259,"Medium Light",25
"COL-0",2,"ab-1",396.5,272,9014.96171846987,FALSE,"abaxial",15,65.772,21.932,"Medium Light",25
"COL-0",2,"ab-1",408,140,8045.98497562408,FALSE,"abaxial",13,9.462,24.331,"Medium Light",25
"COL-0",2,"ab-1",417.5,300,NA,TRUE,"abaxial",16,59.421,25.554,"Medium Light",25
"COL-0",2,"ab-1",437,67.5,NA,TRUE,"abaxial",11,15.068,26.926,"Medium Light",25
"COL-0",2,"ab-1",477,497.5,NA,TRUE,"abaxial",23,57.724,22.472,"Medium Light",25
"COL-0",2,"ab-1",500,119.5,NA,TRUE,"abaxial",12,-90,27,"Medium Light",25
"COL-0",2,"ab-1",503,359.5,NA,TRUE,"abaxial",25,-69.146,22.472,"Medium Light",25
"COL-0",2,"ab-1",505.5,464,NA,TRUE,"abaxial",24,83.884,28.16,"Medium Light",25
"COL-0",2,"ab-1",75,475,NA,FALSE,"abaxial",17,26.565,22.361,"Medium Light",25
"COL-0",2,"ab-1",82.5,42,NA,TRUE,"abaxial",1,78.232,24.515,"Medium Light",25
"COL-0",2,"ab-1",93,190.5,NA,TRUE,"abaxial",6,-26.565,24.597,"Medium Light",25
"COL-0",2,"ab-2",119.5,332,12636.9029335102,FALSE,"abaxial",21,-87.138,20.025,"Medium Light",23
"COL-0",2,"ab-2",121,254.5,5412.04295696217,FALSE,"abaxial",6,70.56,18.028,"Medium Light",23
"COL-0",2,"ab-2",131,276,6590.42851837368,FALSE,"abaxial",7,48.814,21.26,"Medium Light",23
"COL-0",2,"ab-2",135.5,182,8594.96778488304,FALSE,"abaxial",3,-9.866,23.345,"Medium Light",23
