treatment,leaf_number,image_number,surface,stomata_number,x,y,angle,length
COL-0,2,ab-1,abaxial,23,477,497.5,57.724,22.472
COL-0,2,ab-1,abaxial,22,382,493.5,-80.134,23.345
COL-0,2,ab-1,abaxial,18,145,487,77.005,26.683
COL-0,2,ab-1,abaxial,17,75,475,26.565,22.361
COL-0,2,ab-1,abaxial,24,505.5,464,83.884,28.16
COL-0,2,ab-1,abaxial,19,298.5,444.5,62.103,19.235
COL-0,2,ab-1,abaxial,20,317.5,435,72.35,23.087
COL-0,2,ab-1,abaxial,21,361,416.5,-85.03,23.087
COL-0,2,ab-1,abaxial,10,211.5,405,33.69,25.239
COL-0,2,ab-1,abaxial,9,253.5,364.5,-70.201,26.571
COL-0,2,ab-1,abaxial,25,503,359.5,-69.146,22.472
COL-0,2,ab-1,abaxial,8,142,315,70.017,23.409
COL-0,2,ab-1,abaxial,16,417.5,300,59.421,25.554
COL-0,2,ab-1,abaxial,7,35,288,-10.305,22.361
COL-0,2,ab-1,abaxial,15,396.5,272,65.772,21.932
COL-0,2,ab-1,abaxial,5,252.5,228.5,-62.354,23.707
COL-0,2,ab-1,abaxial,14,391,195.5,64.537,23.259
COL-0,2,ab-1,abaxial,6,93,190.5,-26.565,24.597
COL-0,2,ab-1,abaxial,4,291,152.5,43.363,24.759
COL-0,2,ab-1,abaxial,13,408,140,9.462,24.331
COL-0,2,ab-1,abaxial,12,500,119.5,-90,27
COL-0,2,ab-1,abaxial,3,274,102.5,-68.199,26.926
COL-0,2,ab-1,abaxial,11,437,67.5,15.068,26.926
COL-0,2,ab-1,abaxial,2,140.5,51,30.466,19.723
COL-0,2,ab-1,abaxial,1,82.5,42,78.232,24.515
COL-0,3,ab-1,abaxial,14,45.75,469.5,-31.608,22.897
COL-0,3,ab-1,abaxial,16,272.75,463,-5.856,19.602
COL-0,3,ab-1,abaxial,13,200.5,450.25,8.297,24.254
COL-0,3,ab-1,abaxial,17,299.25,447.75,-65.323,20.359
COL-0,3,ab-1,abaxial,15,19.5,444.25,13.325,19.526
COL-0,3,ab-1,abaxial,11,119.75,397.25,-56.689,20.94
COL-0,3,ab-1,abaxial,18,448.5,394.5,7.431,23.195
COL-0,3,ab-1,abaxial,19,433,375.25,-19.093,13.757
COL-0,3,ab-1,abaxial,12,205,351,-10.784,21.378
COL-0,3,ab-1,abaxial,10,110.25,322.5,76.675,19.526
COL-0,3,ab-1,abaxial,20,388.5,299.25,66.297,22.389
COL-0,3,ab-1,abaxial,21,354.75,298.75,-33.311,20.94
COL-0,3,ab-1,abaxial,9,201.25,281,26.003,22.809
COL-0,3,ab-1,abaxial,22,357,256.75,-15.154,24.865
COL-0,3,ab-1,abaxial,8,75.75,251,-30.343,23.754
COL-0,3,ab-1,abaxial,7,153.75,229.75,27.255,18.561
COL-0,3,ab-1,abaxial,6,183.25,211.5,23.703,22.389
COL-0,3,ab-1,abaxial,23,390,204.25,20.925,18.2
COL-0,3,ab-1,abaxial,3,21.25,178.5,-32.381,24.274
COL-0,3,ab-1,abaxial,24,347.75,160,-21.801,24.233
COL-0,3,ab-1,abaxial,4,119.75,155.25,-5.826,24.627
COL-0,3,ab-1,abaxial,25,383.5,138.75,57.031,22.051
COL-0,3,ab-1,abaxial,2,66,130.25,-32.005,23.585
COL-0,3,ab-1,abaxial,1,85,88.25,50.013,20.23
COL-0,3,ab-1,abaxial,5,227.75,57.75,-39.289,21.319
COL-0,3,ab-1,abaxial,26,271.75,36.75,-42.955,19.812
COL-0,3,ab-1,abaxial,27,398.75,16.75,79.287,18.828
COL-0,3,ab-1,abaxial,28,437.25,5.25,11.31,22.946
COL-0,4,ab-1,abaxial,25,106.75,506.5,63.435,1.118
COL-0,4,ab-1,abaxial,26,12.25,477,41.285,27.281
COL-0,4,ab-1,abaxial,24,107.75,472.75,65.136,22.594
COL-0,4,ab-1,abaxial,23,419.25,468.75,39.958,24.135
COL-0,4,ab-1,abaxial,22,355.5,463.25,77.471,23.049
COL-0,4,ab-1,abaxial,21,260.5,461.5,-69.775,20.248
COL-0,4,ab-1,abaxial,20,191.5,438.75,18.06,24.192
COL-0,4,ab-1,abaxial,16,226.25,411,30.343,23.754
COL-0,4,ab-1,abaxial,18,431.25,337.25,-78.179,21.966
COL-0,4,ab-1,abaxial,14,163.75,325.25,20.695,24.052
COL-0,4,ab-1,abaxial,15,1.5,322.75,26.565,1.118
COL-0,4,ab-1,abaxial,17,352.75,301.25,50.356,22.727
COL-0,4,ab-1,abaxial,19,470.5,285.5,38.66,25.612
COL-0,4,ab-1,abaxial,12,73,280,65.376,26.401
COL-0,4,ab-1,abaxial,13,196.25,237,35.676,24.005
COL-0,4,ab-1,abaxial,6,55.5,163,-67.166,20.616
COL-0,4,ab-1,abaxial,9,345.5,150.25,44.236,26.519
COL-0,4,ab-1,abaxial,5,18,149.75,58.109,26.5
COL-0,4,ab-1,abaxial,10,426,142.75,18.825,23.243
COL-0,4,ab-1,abaxial,7,225.75,142,-88.854,25.005
COL-0,4,ab-1,abaxial,11,471.5,131.25,71.966,22.611
COL-0,4,ab-1,abaxial,8,271.25,108.5,39.036,23.817
COL-0,4,ab-1,abaxial,3,448.5,53.5,9.866,23.345
COL-0,4,ab-1,abaxial,4,475.75,31.5,44.119,22.984
COL-0,4,ab-1,abaxial,1,198,27.5,51.71,24.207
COL-0,4,ab-1,abaxial,2,295.25,15,-9.273,24.824
COL-0,2,ab-2,abaxial,17,479.5,503,-58.57,21.095
COL-0,2,ab-2,abaxial,20,220,490,41.634,24.083
COL-0,2,ab-2,abaxial,19,276,482,-4.764,24.083
COL-0,2,ab-2,abaxial,16,471.5,465,77.196,22.561
COL-0,2,ab-2,abaxial,18,292,450.5,-14.036,20.616
COL-0,2,ab-2,abaxial,15,471.5,420,-50.194,23.431
COL-0,2,ab-2,abaxial,23,44.5,380.5,60.524,26.42
COL-0,2,ab-2,abaxial,22,55.5,340.5,58.241,24.698
COL-0,2,ab-2,abaxial,21,119.5,332,-87.138,20.025
COL-0,2,ab-2,abaxial,14,359,309,14.036,24.739
COL-0,2,ab-2,abaxial,10,309.5,287,-63.435,20.125
COL-0,2,ab-2,abaxial,7,131,276,48.814,21.26
COL-0,2,ab-2,abaxial,6,121,254.5,70.56,18.028
COL-0,2,ab-2,abaxial,13,473,215.5,26.565,24.597
COL-0,2,ab-2,abaxial,8,256,209.5,-20.556,25.632
COL-0,2,ab-2,abaxial,5,33,203,-10.305,22.361
COL-0,2,ab-2,abaxial,12,396.5,195.5,58.241,24.698
COL-0,2,ab-2,abaxial,9,288,195,79.695,22.361
COL-0,2,ab-2,abaxial,3,135.5,182,-9.866,23.345
COL-0,2,ab-2,abaxial,2,162.5,120.5,-3.013,19.026
COL-0,2,ab-2,abaxial,11,454.5,102.5,66.801,22.847
COL-0,2,ab-2,abaxial,1,149,74,-63.435,22.361
COL-0,2,ab-2,abaxial,4,319.5,13,20.854,22.472
COL-0,3,ab-2,abaxial,15,410.75,509.5,7.595,22.699
COL-0,3,ab-2,abaxial,13,227.25,506.75,13.671,19.039
COL-0,3,ab-2,abaxial,14,506.75,505,-63.435,1.118
COL-0,3,ab-2,abaxial,16,329.25,458.75,-56.689,20.94
COL-0,3,ab-2,abaxial,12,44.75,442.25,23.552,21.272
COL-0,3,ab-2,abaxial,11,187.25,417.75,-13.736,23.162
COL-0,3,ab-2,abaxial,17,414.75,412.25,-12.381,20.988
COL-0,3,ab-2,abaxial,10,123,387.75,-32.735,24.965
COL-0,3,ab-2,abaxial,18,319.5,384.25,81.674,20.718
COL-0,3,ab-2,abaxial,22,411,342,27.646,23.707
COL-0,3,ab-2,abaxial,9,43.5,323.75,71.966,22.611
COL-0,3,ab-2,abaxial,19,286,312.75,-34.019,24.13
COL-0,3,ab-2,abaxial,8,156,299.75,-84.144,19.602
COL-0,3,ab-2,abaxial,20,363,291.25,34.992,18.31
COL-0,3,ab-2,abaxial,21,392.5,273.5,27.759,21.471
COL-0,3,ab-2,abaxial,6,89.25,244.25,79.16,23.927
COL-0,3,ab-2,abaxial,7,230.5,239.5,-31.759,24.698
COL-0,3,ab-2,abaxial,23,329,216,-7.125,24.187
COL-0,3,ab-2,abaxial,5,70.75,203.5,74.624,20.742
COL-0,3,ab-2,abaxial,24,275.75,189.75,-31.373,24.01
COL-0,3,ab-2,abaxial,4,203.5,151.5,-27.897,19.235
COL-0,3,ab-2,abaxial,25,294.25,149,51.546,21.708
COL-0,3,ab-2,abaxial,26,437.5,119.5,-46.975,20.518
COL-0,3,ab-2,abaxial,27,480.75,98.75,-46.909,21.225
COL-0,3,ab-2,abaxial,3,189.5,65.25,14.676,21.708
COL-0,3,ab-2,abaxial,28,487.5,56.5,43.025,20.518
COL-0,3,ab-2,abaxial,1,80.25,40.75,-39.289,21.319
COL-0,3,ab-2,abaxial,29,268,24.75,-34.778,21.915
COL-0,3,ab-2,abaxial,2,168.25,1.25,6.072,23.633
COL-0,3,ab-2,abaxial,30,283.5,0.25,26.565,1.118
COL-0,4,ab-2,abaxial,26,430.75,509.5,63.435,1.118
COL-0,4,ab-2,abaxial,25,275.25,508.75,71.565,1.581
COL-0,4,ab-2,abaxial,24,9.25,473.25,-68.806,26.277
COL-0,4,ab-2,abaxial,17,303.25,468.75,37.093,25.7
COL-0,4,ab-2,abaxial,16,460.25,465,50.793,24.52
COL-0,4,ab-2,abaxial,18,176,460.75,68.199,24.233
COL-0,4,ab-2,abaxial,23,41.25,388.75,-28.142,24.382
COL-0,4,ab-2,abaxial,15,342.25,373.75,-88.877,25.505
COL-0,4,ab-2,abaxial,22,105,363.5,61.189,22.825
COL-0,4,ab-2,abaxial,14,476.75,350.25,8.471,23.759
COL-0,4,ab-2,abaxial,13,459.5,322,-87.614,24.021
COL-0,4,ab-2,abaxial,21,126.25,306.25,-83.66,22.638
COL-0,4,ab-2,abaxial,20,249.25,282,-36.607,21.8
COL-0,4,ab-2,abaxial,12,347.5,276.25,56.31,23.436
COL-0,4,ab-2,abaxial,19,163.75,269,18.853,21.662
COL-0,4,ab-2,abaxial,11,357,248,55.62,23.022
COL-0,4,ab-2,abaxial,9,96.5,193.5,59.036,23.324
COL-0,4,ab-2,abaxial,6,335.5,165.5,-68.199,26.926
COL-0,4,ab-2,abaxial,8,119.25,156.25,23.839,23.505
COL-0,4,ab-2,abaxial,7,187.25,130.5,-51.147,23.114
COL-0,4,ab-2,abaxial,5,398.75,71.5,55.981,24.13
COL-0,4,ab-2,abaxial,2,113.5,64.5,-75.379,23.77
COL-0,4,ab-2,abaxial,4,298.5,53,61.189,22.825
COL-0,4,ab-2,abaxial,3,262,51,-58.241,24.698
COL-0,4,ab-2,abaxial,1,44.5,46.5,-70.017,23.409
COL-0,4,ab-2,abaxial,10,511.25,45.5,75.964,2.062
COL-0,2,ab-3,abaxial,16,505.25,499.25,45,0.707
COL-0,2,ab-3,abaxial,13,449.5,480.5,34.992,24.413
COL-0,2,ab-3,abaxial,11,103,461.5,-78.232,24.515
COL-0,2,ab-3,abaxial,12,251.5,458.75,49.145,24.459
COL-0,2,ab-3,abaxial,10,6.25,448.5,57.265,24.965
COL-0,2,ab-3,abaxial,17,505.5,442,65.772,21.932
COL-0,2,ab-3,abaxial,18,493,386,-7.125,24.187
COL-0,2,ab-3,abaxial,9,15.5,383,-74.055,21.84
COL-0,2,ab-3,abaxial,8,77.75,336,61.294,23.943
COL-0,2,ab-3,abaxial,14,368,327,51.71,24.207
COL-0,2,ab-3,abaxial,7,184,317.75,87.839,26.519
COL-0,2,ab-3,abaxial,15,407.5,306.25,68.587,27.391
COL-0,2,ab-3,abaxial,5,17,256.5,-73.072,24.042
COL-0,2,ab-3,abaxial,19,417.25,252.25,-86.634,25.544
COL-0,2,ab-3,abaxial,6,45.75,251.75,-61.504,19.912
COL-0,2,ab-3,abaxial,4,153.25,243.75,-75.7,26.315
COL-0,2,ab-3,abaxial,20,333.25,231.25,30.964,26.239
COL-0,2,ab-3,abaxial,3,109.75,197.5,86.269,23.049
COL-0,2,ab-3,abaxial,21,449.75,192.25,-81.529,23.759
COL-0,2,ab-3,abaxial,2,226.75,170,-86.269,23.049
COL-0,2,ab-3,abaxial,22,364.75,143.5,51.147,23.114
COL-0,2,ab-3,abaxial,23,499.5,118,32.276,22.472
COL-0,2,ab-3,abaxial,24,498.5,82.25,-21.541,20.427
COL-0,2,ab-3,abaxial,25,290.75,55.25,83.66,22.638
COL-0,2,ab-3,abaxial,1,210.5,47.75,33.341,22.743
COL-0,2,ab-3,abaxial,26,374,24.75,69.59,22.94
COL-0,2,ab-3,abaxial,27,421.75,20.5,7.595,22.699
COL-0,2,ab-3,abaxial,28,260,10.25,68.682,22.006
COL-0,3,ab-3,abaxial,21,510,500.75,-90,0.5
COL-0,3,ab-3,abaxial,12,185,482,63.435,22.361
COL-0,3,ab-3,abaxial,17,291,475.5,37.405,21.401
COL-0,3,ab-3,abaxial,10,0.25,429.5,63.435,1.118
COL-0,3,ab-3,abaxial,11,118.75,419.25,-66.448,21.272
COL-0,3,ab-3,abaxial,16,389.25,417.75,-31.373,24.01
COL-0,3,ab-3,abaxial,15,354,383.5,-43.152,21.932
COL-0,3,ab-3,abaxial,14,309.25,376.5,41.082,25.87
COL-0,3,ab-3,abaxial,9,3.5,376.25,87.455,22.522
COL-0,3,ab-3,abaxial,19,487.25,348.25,74.982,21.225
COL-0,3,ab-3,abaxial,18,446.75,336.25,-60.068,19.039
COL-0,3,ab-3,abaxial,20,493.75,312,33.69,19.831
COL-0,3,ab-3,abaxial,7,132.75,289.25,78.69,22.946
COL-0,3,ab-3,abaxial,13,261.75,281.75,48.691,21.966
COL-0,3,ab-3,abaxial,8,225.5,250,-43.025,20.518
COL-0,3,ab-3,abaxial,6,74,238.75,28.926,21.708
COL-0,3,ab-3,abaxial,22,439.75,230.25,22.011,25.348
COL-0,3,ab-3,abaxial,5,143.5,199.25,78.959,20.887
COL-0,3,ab-3,abaxial,23,479.5,179.75,75.069,23.286
COL-0,3,ab-3,abaxial,24,276.5,174.5,48.814,21.26
COL-0,3,ab-3,abaxial,4,236.5,153.25,-6.789,21.148
COL-0,3,ab-3,abaxial,2,61,115,-84.806,22.091
COL-0,3,ab-3,abaxial,3,150.75,73.25,-19.231,22.771
COL-0,3,ab-3,abaxial,25,408.25,60.5,19.747,20.718
COL-0,3,ab-3,abaxial,26,435.25,45,29.427,22.389
COL-0,3,ab-3,abaxial,27,411.75,19.5,11.041,20.887
COL-0,3,ab-3,abaxial,1,98.25,6.25,71.565,1.581
COL-0,4,ab-3,abaxial,22,371.25,508.5,33.69,1.803
COL-0,4,ab-3,abaxial,23,376.25,468.25,-59.826,24.87
COL-0,4,ab-3,abaxial,21,224.5,463.5,38.66,25.612
COL-0,4,ab-3,abaxial,16,21.25,443,61.074,21.708
COL-0,4,ab-3,abaxial,15,0.75,428.5,75.964,2.062
COL-0,4,ab-3,abaxial,18,195.75,426.25,74.539,24.382
COL-0,4,ab-3,abaxial,17,178.5,394.25,-45.83,24.398
COL-0,4,ab-3,abaxial,20,310.75,382,50.194,27.336
COL-0,4,ab-3,abaxial,19,196.75,310.75,88.831,24.505
COL-0,4,ab-3,abaxial,24,364.5,277.5,0,24
COL-0,4,ab-3,abaxial,25,349.5,254.75,-71.966,22.611
COL-0,4,ab-3,abaxial,26,448.25,246.25,36.634,24.3
COL-0,4,ab-3,abaxial,13,149.5,215.25,11.944,26.575
COL-0,4,ab-3,abaxial,10,268,204.5,9.462,24.331
COL-0,4,ab-3,abaxial,14,20.25,192,2.246,25.52
COL-0,4,ab-3,abaxial,12,169.25,186.25,86.496,24.546
COL-0,4,ab-3,abaxial,9,424,179.25,56.31,23.436
COL-0,4,ab-3,abaxial,11,235.25,177.75,46.591,25.466
COL-0,4,ab-3,abaxial,8,485.75,133.5,-42.274,22.299
COL-0,4,ab-3,abaxial,7,482.75,103.25,73.179,22.461
COL-0,4,ab-3,abaxial,4,256.25,82.75,88.831,24.505
COL-0,4,ab-3,abaxial,5,408,75,-75.379,23.77
COL-0,4,ab-3,abaxial,6,425.75,40.75,-67.479,22.192
COL-0,4,ab-3,abaxial,1,35.75,25.75,51.52,24.91
COL-0,4,ab-3,abaxial,2,220.25,8.25,-135,2.121
COL-0,4,ab-3,abaxial,3,295.75,0.5,63.435,1.118
COL-0,2,ab-4,abaxial,14,365,490.25,-62.049,27.735
COL-0,2,ab-4,abaxial,11,217.25,460.75,-69.305,24.052
COL-0,2,ab-4,abaxial,10,231.25,427.75,-75.141,25.348
COL-0,2,ab-4,abaxial,9,1.25,404.25,-45,0.707
COL-0,2,ab-4,abaxial,16,484.75,396.5,-37.117,23.2
COL-0,2,ab-4,abaxial,15,425.75,385.25,-73.887,23.42
COL-0,2,ab-4,abaxial,8,104,376,-73.072,24.042
COL-0,2,ab-4,abaxial,12,267.25,330.75,-64.026,21.691
COL-0,2,ab-4,abaxial,7,226.75,314,84.289,25.125
COL-0,2,ab-4,abaxial,13,318,313,-59.421,25.554
COL-0,2,ab-4,abaxial,5,57,296.75,15.154,24.865
COL-0,2,ab-4,abaxial,17,493,279.25,-52.431,24.602
COL-0,2,ab-4,abaxial,6,235,257.75,-40.972,25.164
COL-0,2,ab-4,abaxial,19,457.25,240.75,-49.764,25.544
COL-0,2,ab-4,abaxial,20,368.25,239.75,-48.27,24.789
COL-0,2,ab-4,abaxial,4,33,232,-26.565,22.361
COL-0,2,ab-4,abaxial,3,54.75,205.5,-8.326,20.718
COL-0,2,ab-4,abaxial,18,499,175,-59.421,25.554
COL-0,2,ab-4,abaxial,22,316.25,168.75,-21.194,26.277
COL-0,2,ab-4,abaxial,21,367.5,151.25,66.038,24.622
COL-0,2,ab-4,abaxial,26,246.25,95.25,-39.958,24.135
COL-0,2,ab-4,abaxial,2,207.75,89.25,-58.134,21.783
COL-0,2,ab-4,abaxial,23,480,79,41.186,21.26
COL-0,2,ab-4,abaxial,24,317,46,-70.821,24.352
COL-0,2,ab-4,abaxial,25,301,0.5,0,1
COL-0,2,ab-4,abaxial,1,91,0,0,1
COL-0,3,ab-4,abaxial,21,303.5,511,0,1
COL-0,3,ab-4,abaxial,20,338.25,469.5,63.435,19.007
